书架分类,藏书名称,作者,出版社,ISBN,收藏时间,阅读进度
无分类,认知心理学,[美] 罗伯特·索尔所_@_[美] 奥托·麦克林_@_[美] 金伯利·麦克林,上海人民出版社,9787208152724,2022年09月06 22:06:14,0%
无分类,精神现象学,(德) 黑格尔,人民出版社,9787010150048,2022年09月06 22:05:58,0%
无分类,埃克哈特大师文集,埃克哈特,商务印书馆,9787100068789,2022年09月06 22:07:49,0%
无分类,Fooled by Randomness,Nassim Nicholas Taleb,Penguin,9780141031484,2024年05月20 19:57:54,0%
无分类,The Philosophy of Aristotle,Aristotle,Penguin US,9780451531759,2024年05月20 19:59:29,0%
无分类,Educated,Tara Westover,Windmill Books,9780099511021,2024年05月20 20:00:13,0%
无分类,A History of the World in 100 Objects,Neil MacGregor,Penguin,9780241951774,2024年05月20 20:00:28,0%
无分类,悉达多,[德]赫尔曼·黑塞,天津人民出版社,9787201112695,2024年05月20 20:00:35,0%
无分类,Antifragile,Taleb Nassim Nicholas,,9780141038223,2024年05月20 20:00:41,0%
无分类,The Black Swan,Nassim Nicholas Taleb,Penguin,9780141034591,2024年05月20 20:00:46,0%
无分类,清单革命,[美]阿图·葛文德,北京联合出版公司,9787559610737,2024年05月20 20:01:42,0%
无分类,自控力,[美]  凯利·麦格尼格尔,文化发展出版社(原印刷工业出版社),9787514205039,2024年05月20 20:01:53,0%
无分类,The Power of Habit,Charles Duhigg,Random House Trade Paperbacks,9780812981605,2024年05月20 20:04:14,0%
无分类,The Power of Now,艾克哈特·托勒 (Eckhart Tolle),Hodder Mobius,9780340733509,2024年05月20 20:04:58,0%
无分类,Talent is Overrated,Geoff Colvin,Portfolio,9781591842941,2024年05月20 20:05:25,0%
无分类,Outliers,Malcolm Gladwell,Back Bay Books,9780316017930,2024年05月20 20:05:40,0%
无分类,Peak,Anders Ericsson_@_Robert Pool,Eamon Dolan/Mariner Books,9780544947221,2024年05月20 20:06:53,0%
无分类,一万小时天才理论,[美] 丹尼尔·科伊尔,中国人民大学出版社,9787300116778,2024年05月20 20:07:23,0%
无分类,A Mind For Numbers,Barbara Oakley,Tarcher,9780399165245,2024年05月20 20:07:29,0%
