"answer","audio","id","options__001","options__002","options__003","options__004","text"
"guō tiē","type2_096.mp3","q0","guō tiè","guǒ tiē","guò tiè","guō tiē","锅贴"
"jiāo tōng","type2_076.mp3","q1","jiāo tōng","jiào tōng","jiáo tùng","jiāo tǔng","交通"
"ér qiě","type2_083.mp3","q2","é chě","ér chiě","é qiě","ér qiě","而且"
"zuǐ chún","type2_036.mp3","q3","zuǎi chuán","zuǐ chún","zuěi quán","zuǐ qún","嘴唇"
"hū lüè","type2_039.mp3","q4","hū luè","hù luì","hū lüè","hū lüì","忽略"
"qín kuài","type2_071.mp3","q5","chín kuài","āng zāng","qín kuài","qín kuì","勤快"
"zhěng qí","type2_089.mp3","q6","zhǔng chí","zhǔng qí","zhěng qí","zhěng chí","整齐"
"yǔ yán","type2_042.mp3","q7","wǔ yán","yǔ yán","wǔ yuán","yǔ yén","语言"
"fó jiào","type2_100.mp3","q8","fuó jiào","fuó zhào","fó qiào","fó jiào","佛教"
"ān zāng","type2_070.mp3","q9","ān zhāng","āng zāng","āng zhāng","ān zāng","肮脏"
"chui niu","type2_061.mp3","q10","chuì niù","chuī niù","chuí niǔ","chuī niú","吹牛"
"xià xuě","type2_020.mp3","q11","shià shuě","xià xuě","shà shuǐ","shà xuě","下雪"
"jāng jūn","type2_055.mp3","q12","jiōng jūn","jiān jūn","jāng jūn","jiāng jūn","将军"
"pí jiǔ","type2_015.mp3","q13","pí jiǒu","pí jiǒ","pí joě","pí jiǔ","啤酒"
"ruǎn ruò","type2_046.mp3","q14","rǎn ruò","ruǎn ruò","ruǎn ròu","rǎn rò","软弱"
"fèn dòu","type2_027.mp3","q15","fèng dòu","fèn dòu","fùn dòu","fùng dòu","奋斗"
"rè qíng","type2_051.mp3","q16","rè chíng","rè qíng","rì chíng","rì qíng","热情"
"lěi jī","type2_067.mp3","q17","lǎi jī","lǎi gī","lěi jī","lěi gī","累积"
"cí qì","type2_095.mp3","q18","zí qì","cí qì","zí chì","cí chì","瓷器"
"zàn chéng","type2_019.mp3","q19","càn chūng","zàn chúng","zàn chéng","càn chéng","赞成"
"zhòng tián","type2_040.mp3","q20","zòng tián","zòng tién","zhùng tién","zhòng tián","种田"
"yuán quān","type2_080.mp3","q21","yuán quān","yuén chuēn","yuán quàn","yuén quēn","圆圈"
"xiāng shuǐ","type2_041.mp3","q22","xiāng shuǐ","shāng shuǎi","xiāng shuě","shāng shuǐ","香水"
"zhǔ fàn","type2_053.mp3","q23","jǔ fàn","zhǔ fàn","jǔ fàng","zhǔ fàng","煮饭"
"hùn luàn","type2_075.mp3","q24","huèn luèn","hùn luèn","hùn luàn","huàn luàn","混乱"
"xún zhǎo","type2_063.mp3","q25","xuán jiǎo","xuén zhǎo","xún zhǎo","xún jiǎo","寻找"
"lóng xiā","type2_014.mp3","q26","lúng shā","lóng shiā","lúng xiā","lóng xiā","龙虾"
"zé rèn","type2_044.mp3","q27","cé rèn","cé yèn","zé jèn","zé rèn","责任"
"yán jiù","type2_048.mp3","q28","yén jòu","yén jiù","yán jiòu","yán jiū","研究"
"sōu suǒ","type2_091.mp3","q29","sòu suó","sōu suǒ","sòu suǒ","sóu suò","搜索"
"mào xiǎn","type2_030.mp3","q30","mào xiěn","mào xiǎn","mào shěn","mào shiǎn","冒险"
"chǐ cùn","type2_085.mp3","q31","chǐ chèn","chǐ cùn","chě cùn","chě chùn","尺寸"
"bèi shū","type2_008.mp3","q32","bèi shū","pèi xū","bèi xū","pèi shū","背书"
"xiào shùn","type2_038.mp3","q33","shào shùn","xiào shùn","xiào shuèn","shào shuàn","孝顺"
"ruì diǎn","type2_007.mp3","q34","rày diěn","ruì diǎn","rèi diěn","rài diǎn","瑞典"
"wén huà","type2_012.mp3","q35","wén hwà","wén huà","wún hwà","wún huà","文化"
"bō duó","type2_003.mp3","q36","bō dóu","buō duó","bō duó","buō dó","剥夺"
"cān tīng","type2_090.mp3","q37","sān tīng","zān tīng","chān tīng","cān tīng","餐厅"
"zuò zhě","type2_021.mp3","q38","zuò zhě","zuò zhǐ","zòu zhě","zòu zhǐ","作者"
"zá zhì","type2_074.mp3","q39","jiá zhì","jiá jì","zá jì","zá zhì","杂志"
"xìn fēng","type2_093.mp3","q40","shìn fūng","xìn fēng","shìn fēng","xìn fūng","信封"
"xuán zhuǎn","type2_017.mp3","q41","xuán zhuǎn","xuén juǎn","shuán zhuǎn","shuén juǎn","旋转"
"zì yóu","type2_092.mp3","q42","cì yú","cì yóu","zì yóu","zì yó","自由"
"mó cā","type2_033.mp3","q43","mó chā","muó cā","mó cā","móu chā","摩擦"
"jiě jué","type2_087.mp3","q44","jiǔ jué","jiě jué","jiě zhuí","juě zhué","解决"
"zhī dào","type2_001.mp3","q45","zhī dào","zhī dòu","zhē dào","zhē daù","知道"
"jiàn shè","type2_011.mp3","q46","jiàn shè","jièn shì","jiàn shì","jièn shè","建设"
"chàn huǐ","type2_084.mp3","q47","chàng huǎi","chàng huǐ","chàn huǐ","chàn huěi","忏悔"
"xī qí","type2_037.mp3","q48","xī qí","xī chí","shī qí","shī chí","稀奇"
"dǎ jià","type2_002.mp3","q49","dǎ zhà","dǎ jià","tǎ qià","tǎ zhà","打架"
"kǒu yǔ","type2_009.mp3","q50","kuǒ wǔ","kǒ yǔ","kǒu yǔ","kǒu wǔ","口语"
"xuān chuán","type2_073.mp3","q51","shuēn chuán","shuān quán","xuān quán","xuān chuán","宣传"
"wēn nuǎn","type2_029.mp3","q52","wūn nuǎn","wēn nuǎn","wùn nuǎn","wěn nuán","温暖"
"hán guó","type2_079.mp3","q53","hán'guó","hán guó","háng guó","hán'guó","韩国"
"xuǎn zé","type2_066.mp3","q54","xuǎn zí","xuǎn zé","xǔn zí","zuěn zé","选择"
"quàn gào","type2_032.mp3","q55","quān gáo","quàn gáo","quàn gào","quàn gǎo","劝告"
