中文,英文,,,,,,,,,,,,,,,,,,
习近平新时代中国特色社会主义思想,Xi Jinping Thought on Socialism with Chinese Characteristics for a New Era,,,,,,,,,,,,,,,,,,
中国共产党,the Communist Party of China (the CPC),,,,,,,,,,,,,,,,,,
中国梦,Chinese Dream,,,,,,,,,,,,,,,,,,
毛泽东思想,Mao Zedong Thought,,,,,,,,,,,,,,,,,,
邓小平理论,Deng Xiaoping Theory,,,,,,,,,,,,,,,,,,
“三个代表”重要思想,the Theory of Three Represents,,,,,,,,,,,,,,,,,,
科学发展观,Scientific Outlook on Development,,,,,,,,,,,,,,,,,,
改革开放,reform and opening up,,,,,,,,,,,,,,,,,,
“两个一百年”奋斗目标,the Two Centenary Goals,,,,,,,,,,,,,,,,,,
 第一个百年奋斗目标,the First Centenary Goal,,,,,,,,,,,,,,,,,,
第二个百年奋斗目标,the Second Centenary Goal,,,,,,,,,,,,,,,,,,
中国特色社会主义,socialism with Chinese characteristics,,,,,,,,,,,,,,,,,,
社会主义现代化,socialist modernization,,,,,,,,,,,,,,,,,,
社会主义现代化国家,a modern socialist country,,,,,,,,,,,,,,,,,,
中国特色社会主义根本制度、基本制度、重要制度,"the fundamental, basic and important systems of Chinese socialism",,,,,,,,,,,,,,,,,,
中国特色社会主义伟大事业,the great cause of Chinese socialism,,,,,,,,,,,,,,,,,,
 中国特色社会主义道路,the path of socialism with Chinese characteristics,,,,,,,,,,,,,,,,,,
 党的建设新的伟大工程,the great new project of Party building,,,,,,,,,,,,,,,,,,
以人民为中心的发展思想,the people-centered philosophy of development,,,,,,,,,,,,,,,,,,
共同富裕,shared prosperity// common prosperity,,,,,,,,,,,,,,,,,,
“五位一体”总体布局,the Five-sphere Integrated Plan,,,,,,,,,,,,,,,,,,
“四个全面”战略布局,the Four-pronged Comprehensive Strategy,,,,,,,,,,,,,,,,,,
“四个自信”,the Four-sphere Confidence,,,,,,,,,,,,,,,,,,
中国方案,Chinese Approach,,,,,,,,,,,,,,,,,,
全面建成小康社会,the building of a moderately prosperous society in all respects,,,,,,,,,,,,,,,,,,
“十四五”规划,the 14th Five-Year Plan,,,,,,,,,,,,,,,,,,
 三大攻坚战,three tough battles,,,,,,,,,,,,,,,,,,
顶层设计,top-level design,,,,,,,,,,,,,,,,,,
人民当家作主,people’s position/status as masters of the country,,,,,,,,,,,,,,,,,,
《中华人民共和国宪法》,the Constitution of the People’s Republic of China,,,,,,,,,,,,,,,,,,
全面依法治国,to advance law-based governance in all respects,,,,,,,,,,,,,,,,,,
 社会主义法制,socialist legal system,,,,,,,,,,,,,,,,,,
法治国家、法治政府、法治社会,"a law-based country, government and society",,,,,,,,,,,,,,,,,,
法律援助,legal aid,,,,,,,,,,,,,,,,,,
司法公正,judicial justice,,,,,,,,,,,,,,,,,,
社会稳定,social stability,,,,,,,,,,,,,,,,,,
社会公平正义,social fairness and justice,,,,,,,,,,,,,,,,,,
实事求是,to seek truth from facts,,,,,,,,,,,,,,,,,,
集中力量办大事,to pool all our resources to complete major missions//to pool our efforts to accomplish big tasks,,,,,,,,,,,,,,,,,,
国务院,State Council,,,,,,,,,,,,,,,,,,
全国人民代表大会,National People’s Congress (NPC),,,,,,,,,,,,,,,,,,
爱国统一战线,patriotic United Front,,,,,,,,,,,,,,,,,,
祖国内地；大陆,the Chinese mainland,,,,,,,,,,,,,,,,,,
和平统一,peaceful reunification,,,,,,,,,,,,,,,,,,
 特别行政区,special administrative region,,,,,,,,,,,,,,,,,,
“一国两制”,"one country, two systems",,,,,,,,,,,,,,,,,,
香港回归,Hong Kong’s return to China,,,,,,,,,,,,,,,,,,
东方之珠,the Pearl of the Orient,,,,,,,,,,,,,,,,,,
台湾海峡；两岸,Taiwan Straits,,,,,,,,,,,,,,,,,,
一个中国原则,one-China principle,,,,,,,,,,,,,,,,,,
“九二共识”,the 1992 Consensus,,,,,,,,,,,,,,,,,,
 “港人治港”、“澳人治澳”,"the people of Hong Kong administer Hong Kong, the people of Macao administer Macao//the people of Hong Kong govern Hong Kong, the people of Macao govern Macao",,,,,,,,,,,,,,,,,,
（海峡）两岸关系,cross-Straits relations,,,,,,,,,,,,,,,,,,
 “两个维护”,the Two Upholds,,,,,,,,,,,,,,,,,,
 “四个意识”,the Four Consciousnesses,,,,,,,,,,,,,,,,,,
全心全意为人民服务,to serve the people wholeheartedly,,,,,,,,,,,,,,,,,,
不忘初心，牢记使命,to remain/stay true to our original aspiration and founding mission,,,,,,,,,,,,,,,,,,
 反腐败,anti-corruption,,,,,,,,,,,,,,,,,,
党的基本理论、基本路线、基本方略,"the Party’s underlying theories, basic guidelines, and fundamental principles",,,,,,,,,,,,,,,,,,
伟大斗争、伟大工程、伟大事业、伟大梦想,"the great struggle, the great project, the great cause and the great dream",,,,,,,,,,,,,,,,,,
党的全面领导,overall Party leadership,,,,,,,,,,,,,,,,,,
马克思主义执政党,Marxist governing party,,,,,,,,,,,,,,,,,,
群众路线,mass line,,,,,,,,,,,,,,,,,,
批评和自我批评,criticism and self-criticism,,,,,,,,,,,,,,,,,,
党性,Party consciousness// Party spirit,,,,,,,,,,,,,,,,,,
 重要战略机遇期,important period of strategic opportunity,,,,,,,,,,,,,,,,,,
建设世界科技强国,to build China into a world leader in science and technology,,,,,,,,,,,,,,,,,,
习近平新时代中国特色社会主义经济思想,the Xi Jinping thought on the economy of socialism with Chinese characteristics in the new era,,,,,,,,,,,,,,,,,,
经济全球化,economic globalization,,,,,,,,,,,,,,,,,,
四个现代化,Four Modernizations,,,,,,,,,,,,,,,,,,
实体经济,real economy,,,,,,,,,,,,,,,,,,
新发展理念,new development philosophy,,,,,,,,,,,,,,,,,,
 创新发展,innovative development,,,,,,,,,,,,,,,,,,
